sampleid,x,y
797,183,1
798,845,1
799,868,1
800,605,1
801,779,1
802,796,1
803,397,1
804,998,1
805,74,1
806,1021,0
807,827,1
808,425,1
809,411,1
810,526,1
811,507,1
812,916,1
813,926,1
814,435,1
815,201,1
816,949,1
817,561,1
818,926,1
819,412,1
820,750,1
821,28,1
822,290,1
823,33,1
824,795,1
825,208,1
826,507,1
827,174,1
828,794,1
829,307,1
830,804,1
831,436,1
832,831,1
833,609,1
834,312,1
835,159,1
836,679,1
837,37,1
838,199,1
839,90,1
840,586,1
841,470,1
842,948,1
843,445,1
844,632,1
845,519,1
846,159,1
847,82,1
848,475,1
849,62,1
850,416,1
851,479,1
852,219,1
853,706,1
854,920,1
855,480,1
856,804,1
857,392,1
858,191,1
859,167,1
860,518,1
861,430,1
862,420,1
863,224,1
864,497,1
865,864,1
866,952,1
867,25,1
868,4,1
869,392,1
870,720,1
871,283,1
872,953,1
873,830,1
874,715,1
875,136,1
876,663,1
877,460,1
878,985,1
879,378,1
880,849,1
881,549,1
882,765,1
883,89,1
884,749,1
885,36,1
886,643,1
887,429,1
888,456,1
889,511,1
890,318,1
891,618,1
892,232,1
893,502,1
894,907,1
895,357,1
896,136,1
897,830,1
898,573,1
899,758,1
900,280,1
901,795,1
902,237,1
903,824,1
904,1025,0
905,771,1
906,167,1
907,420,1
908,403,1
909,680,1
910,307,1
911,342,1
912,984,1
913,647,1
914,721,1
915,45,1
916,130,1
917,948,1
918,548,1
919,584,1
920,1015,0
921,852,1
922,351,1
923,254,1
924,574,1
925,56,1
926,868,1
927,170,1
928,330,1
929,959,1
930,603,1
931,339,1
932,73,1
933,141,1
934,424,1
935,246,1
936,184,1
937,967,1
938,854,1
939,85,1
940,503,1
941,612,1
942,284,1
943,560,1
944,628,1
945,348,1
946,676,1
947,506,1
948,811,1
949,440,1
950,829,1
951,455,1
952,694,1
953,729,1
954,32,1
955,246,1
956,133,1
957,605,1
958,9,1
959,498,1
960,718,1
961,899,1
962,713,1
963,464,1
964,896,1
965,998,1
966,205,1
967,886,1
968,793,1
969,914,1
970,524,1
971,54,1
972,899,1
973,40,1
974,143,1
975,904,1
976,783,1
977,4,1
978,598,1
979,375,1
980,69,1
981,284,1
982,485,1
983,930,1
984,520,1
985,940,1
986,980,1
987,870,1
988,141,1
989,244,1
990,90,1
991,523,1
992,995,1
993,837,1
994,518,1
995,766,1
996,331,1
997,387,1
998,274,1
999,201,1
1000,246,1
1001,554,1
1002,996,1
1003,769,1
1004,812,1
1005,981,1
1006,28,1
1007,816,1
1008,681,1
1009,326,1
1010,595,1
1011,333,1
1012,104,1
1013,437,1
1014,525,1
1015,647,1
1016,519,1
1017,774,1
1018,483,1
1019,246,1
1020,301,1
1021,918,1
1022,571,1
1023,905,1
1024,108,1
1025,536,1
1026,829,1
1027,828,1
1028,657,1
1029,633,1
1030,149,1
1031,641,1
1032,291,1
1033,1010,0
1034,13,1
1035,750,1
1036,381,1
1037,227,1
1038,894,1
1039,665,1
1040,268,1
1041,152,1
1042,975,1
1043,892,1
1044,947,1
1045,638,1
1046,38,1
1047,1000,1
1048,1015,0
1049,840,1
1050,400,1
1051,80,1
1052,44,1
1053,376,1
1054,944,1
1055,298,1
1056,596,1
1057,198,1
1058,550,1
1059,523,1
1060,205,1
1061,556,1
1062,196,1
1063,381,1
1064,120,1
1065,166,1
1066,87,1
1067,701,1
1068,43,1
1069,107,1
1070,559,1
1071,554,1
1072,194,1
1073,664,1
1074,575,1
1075,1015,0
1076,446,1
1077,814,1
1078,514,1
1079,124,1
1080,371,1
1081,839,1
1082,328,1
1083,723,1
1084,354,1
1085,864,1
1086,839,1
1087,74,1
1088,16,1
1089,238,1
1090,994,1
1091,455,1
1092,223,1
1093,891,1
1094,846,1
1095,714,1
1096,275,1
1097,612,1
1098,356,1
1099,1009,0
1100,821,1
1101,598,1
1102,229,1
1103,130,1
1104,580,1
1105,816,1
1106,155,1
1107,331,1
1108,701,1
1109,223,1
1110,60,1
1111,102,1
1112,100,1
1113,611,1
1114,440,1
1115,251,1
1116,749,1
1117,45,1
1118,778,1
1119,533,1
1120,491,1
1121,709,1
1122,422,1
1123,505,1
1124,463,1
1125,430,1
1126,189,1
1127,334,1
1128,767,1
1129,46,1
1130,993,1
1131,705,1
1132,557,1
1133,449,1
1134,442,1
1135,147,1
1136,862,1
1137,828,1
1138,639,1
1139,107,1
1140,544,1
1141,1005,0
1142,141,1
1143,507,1
1144,857,1
1145,51,1
1146,39,1
1147,89,1
1148,67,1
1149,609,1
1150,58,1
1151,883,1
1152,965,1
1153,445,1
1154,287,1
1155,168,1
1156,105,1
1157,697,1
1158,59,1
1159,869,1
1160,794,1
1161,862,1
1162,931,1
1163,530,1
1164,1000,1
1165,854,1
1166,600,1
1167,63,1
1168,645,1
1169,426,1
1170,985,1
1171,345,1
1172,635,1
1173,254,1
1174,961,1
1175,953,1
1176,386,1
1177,903,1
1178,55,1
1179,853,1
1180,211,1
1181,4,1
1182,844,1
1183,997,1
1184,570,1
1185,326,1
1186,623,1
1187,497,1
1188,50,1
1189,205,1
1190,184,1
1191,85,1
1192,15,1
1193,808,1
1194,450,1
1195,239,1
1196,340,1
1197,754,1
1198,110,1
1199,14,1
1200,979,1
1201,333,1
1202,475,1
1203,746,1
1204,52,1
1205,974,1
1206,875,1
1207,999,1
1208,680,1
1209,833,1
1210,11,1
1211,904,1
1212,984,1
1213,929,1
1214,1016,0
1215,7,1
1216,786,1
1217,879,1
1218,542,1
1219,835,1
1220,861,1
1221,1011,0
1222,520,1
1223,252,1
1224,71,1
1225,675,1
1226,190,1
1227,6,1
1228,872,1
1229,888,1
1230,739,1
1231,929,1
1232,419,1
1233,125,1
1234,1010,0
1235,810,1
1236,53,1
1237,341,1
1238,77,1
1239,366,1
1240,480,1
1241,61,1
1242,883,1
1243,241,1
1244,919,1
1245,832,1
1246,583,1
1247,754,1
1248,709,1
1249,454,1
1250,993,1
1251,448,1
1252,1007,0
1253,249,1
1254,74,1
1255,479,1
1256,594,1
1257,585,1
1258,579,1
1259,884,1
1260,663,1
1261,33,1
1262,656,1
1263,433,1
1264,433,1
1265,882,1
1266,890,1
1267,839,1
1268,574,1
1269,204,1
1270,307,1
1271,56,1
1272,396,1
1273,782,1
1274,264,1
1275,282,1
1276,874,1
1277,321,1
1278,741,1
1279,260,1
1280,282,1
1281,290,1
1282,631,1
1283,730,1
1284,322,1
1285,39,1
1286,721,1
1287,982,1
1288,0,1
1289,452,1
1290,919,1
1291,555,1
1292,982,1
1293,747,1
1294,640,1
1295,335,1
1296,131,1
1297,345,1
1298,33,1
1299,901,1
1300,618,1
1301,137,1
1302,127,1
1303,135,1
1304,929,1
1305,96,1
1306,689,1
1307,382,1
1308,720,1
1309,280,1
1310,968,1
1311,774,1
1312,308,1
1313,994,1
1314,998,1
1315,637,1
1316,991,1
1317,662,1
1318,869,1
1319,190,1
1320,158,1
1321,375,1
1322,1018,0
1323,524,1
1324,806,1
1325,601,1
1326,301,1
1327,982,1
1328,496,1
1329,744,1
1330,339,1
1331,468,1
1332,248,1
1333,237,1
1334,531,1
1335,975,1
1336,187,1
1337,499,1
1338,30,1
1339,753,1
1340,911,1
1341,595,1
1342,139,1
1343,569,1
1344,271,1
1345,1023,0
1346,338,1
1347,939,1
1348,675,1
1349,321,1
1350,254,1
1351,699,1
1352,475,1
1353,577,1
1354,955,1
1355,523,1
1356,496,1
1357,795,1
1358,209,1
1359,353,1
1360,693,1
1361,862,1
1362,763,1
1363,399,1
1364,995,1
1365,782,1
1366,973,1
1367,571,1
1368,25,1
1369,272,1
1370,397,1
1371,160,1
1372,381,1
1373,520,1
1374,791,1
1375,1013,0
1376,948,1
1377,342,1
1378,921,1
1379,560,1
1380,497,1
1381,692,1
1382,250,1
1383,36,1
1384,811,1
1385,811,1
1386,455,1
1387,113,1
1388,924,1
1389,1022,0
1390,472,1
1391,985,1
1392,712,1
1393,229,1
1394,119,1
1395,369,1
1396,692,1
1397,825,1
1398,989,1
1399,484,1
1400,190,1
1401,161,1
1402,424,1
1403,278,1
1404,137,1
1405,188,1
1406,413,1
1407,484,1
1408,384,1
1409,673,1
1410,733,1
1411,437,1
1412,352,1
1413,719,1
1414,549,1
1415,18,1
1416,134,1
1417,316,1
1418,393,1
1419,761,1
1420,225,1
1421,800,1
1422,107,1
1423,932,1
1424,990,1
1425,411,1
1426,464,1
1427,359,1
1428,284,1
1429,946,1
1430,898,1
1431,1016,0
1432,765,1
1433,743,1
1434,871,1
1435,151,1
1436,169,1
1437,148,1
1438,213,1
1439,771,1
1440,600,1
1441,611,1
1442,994,1
1443,90,1
1444,553,1
1445,998,1
1446,406,1
1447,466,1
1448,915,1
1449,486,1
1450,126,1
1451,207,1
1452,261,1
1453,316,1
1454,675,1
1455,742,1
1456,634,1
1457,386,1
1458,39,1
1459,290,1
1460,682,1
1461,238,1
1462,668,1
1463,121,1
1464,67,1
1465,84,1
1466,241,1
1467,741,1
1468,568,1
1469,210,1
1470,310,1
1471,180,1
1472,850,1
1473,20,1
1474,774,1
1475,70,1
1476,962,1
1477,807,1
1478,678,1
1479,227,1
1480,733,1
1481,897,1
1482,105,1
1483,124,1
1484,790,1
1485,312,1
1486,1002,0
1487,857,1
1488,98,1
1489,731,1
1490,575,1
1491,28,1
1492,507,1
1493,537,1
1494,486,1
1495,944,1
1496,962,1
1497,414,1
1498,653,1
1499,431,1
1500,722,1
1501,354,1
1502,937,1
1503,803,1
1504,818,1
1505,498,1
1506,38,1
1507,176,1
1508,848,1
1509,379,1
1510,61,1
1511,967,1
1512,836,1
1513,603,1
1514,895,1
1515,406,1
1516,103,1
1517,243,1
1518,628,1
1519,414,1
1520,313,1
1521,801,1
1522,441,1
1523,919,1
1524,14,1
1525,659,1
1526,345,1
1527,344,1
1528,869,1
1529,134,1
1530,92,1
1531,291,1
1532,914,1
1533,908,1
1534,235,1
1535,861,1
1536,207,1
1537,944,1
1538,964,1
1539,184,1
1540,717,1
1541,823,1
1542,156,1
1543,84,1
1544,754,1
1545,477,1
1546,598,1
1547,317,1
1548,937,1
1549,621,1
1550,607,1
1551,75,1
1552,158,1
1553,3,1
1554,134,1
1555,577,1
1556,551,1
1557,1007,0
1558,134,1
1559,998,1
1560,936,1
1561,534,1
1562,168,1
1563,342,1
1564,792,1
1565,454,1
1566,91,1
1567,855,1
1568,616,1
1569,434,1
1570,580,1
1571,852,1
1572,163,1
1573,701,1
1574,945,1
1575,645,1
1576,982,1
1577,71,1
1578,643,1
1579,23,1
1580,882,1
1581,189,1
1582,580,1
1583,757,1
1584,634,1
1585,948,1
1586,62,1
1587,874,1
1588,176,1
1589,634,1
1590,25,1
1591,597,1
1592,815,1
1593,6,1
1594,896,1
1595,120,1
1596,872,1
1597,178,1
1598,82,1
1599,163,1
1600,841,1
1601,195,1
1602,315,1
1603,188,1
1604,964,1
1605,983,1
1606,705,1
1607,885,1
1608,877,1
1609,987,1
1610,352,1
1611,778,1
1612,942,1
1613,932,1
1614,714,1
1615,398,1
1616,707,1
1617,904,1
1618,429,1
1619,619,1
1620,371,1
1621,266,1
1622,4,1
1623,118,1
1624,255,1
1625,522,1
1626,593,1
1627,633,1
1628,500,1
1629,148,1
1630,146,1
1631,716,1
1632,358,1
1633,974,1
1634,256,1
1635,993,1
1636,670,1
1637,640,1
1638,890,1
1639,925,1
1640,328,1
1641,376,1
1642,141,1
1643,101,1
1644,321,1
1645,417,1
1646,675,1
1647,907,1
1648,208,1
1649,445,1
1650,134,1
1651,378,1
1652,378,1
1653,964,1
1654,769,1
1655,482,1
1656,895,1
1657,284,1
1658,390,1
1659,182,1
1660,193,1
1661,443,1
1662,730,1
1663,144,1
1664,293,1
1665,184,1
1666,256,1
1667,537,1
1668,668,1
1669,444,1
1670,102,1
1671,384,1
1672,526,1
1673,503,1
1674,831,1
1675,354,1
1676,659,1
1677,364,1
1678,210,1
1679,374,1
1680,244,1
1681,783,1
1682,596,1
1683,759,1
1684,498,1
1685,106,1
1686,184,1
1687,218,1
1688,123,1
1689,669,1
1690,896,1
1691,7,1
1692,331,1
1693,773,1
1694,605,1
1695,908,1
1696,858,1
1697,729,1
1698,1009,0
1699,901,1
1700,867,1
1701,696,1
1702,363,1
1703,645,1
1704,50,1
1705,29,1
1706,841,1
1707,235,1
1708,845,1
1709,350,1
1710,924,1
1711,316,1
1712,183,1
1713,826,1
1714,174,1
1715,663,1
1716,609,1
1717,334,1
1718,559,1
1719,104,1
1720,547,1
1721,653,1
1722,846,1
1723,333,1
1724,271,1
1725,266,1
1726,330,1
1727,454,1
1728,360,1
1729,524,1
1730,960,1
1731,550,1
1732,50,1
1733,924,1
1734,95,1
1735,330,1
1736,1017,0
1737,840,1
1738,480,1
1739,678,1
1740,908,1
1741,253,1
1742,569,1
1743,473,1
1744,966,1
1745,532,1
1746,830,1
1747,94,1
1748,628,1
1749,804,1
1750,996,1
1751,390,1
1752,992,1
1753,602,1
1754,973,1
1755,489,1
1756,94,1
1757,105,1
1758,782,1
1759,124,1
1760,687,1
1761,272,1
1762,324,1
1763,745,1
1764,304,1
1765,839,1
1766,626,1
1767,243,1
1768,94,1
1769,616,1
1770,707,1
1771,807,1
1772,726,1
1773,106,1
1774,725,1
1775,914,1
1776,848,1
1777,576,1
1778,345,1
1779,469,1
1780,40,1
1781,447,1
1782,429,1
1783,184,1
1784,790,1
1785,391,1
1786,1002,0
1787,267,1
1788,680,1
1789,41,1
1790,1013,0
1791,314,1
1792,240,1
1793,431,1
1794,186,1
1795,111,1
1796,155,1
1797,480,1
1798,718,1
1799,108,1
1800,726,1
1801,381,1
1802,46,1
1803,397,1
1804,456,1
1805,32,1
1806,107,1
1807,129,1
1808,757,1
1809,728,1
1810,478,1
1811,5,1
1812,310,1
1813,620,1
1814,862,1
1815,529,1
1816,13,1
1817,629,1
1818,226,1
1819,399,1
1820,484,1
1821,201,1
1822,635,1
1823,946,1
1824,157,1
1825,194,1
1826,622,1
1827,805,1
1828,263,1
1829,262,1
1830,118,1
1831,362,1
1832,119,1
1833,66,1
1834,321,1
1835,507,1
1836,272,1
1837,449,1
1838,643,1
1839,175,1
1840,705,1
1841,44,1
1842,514,1
1843,64,1
1844,437,1
1845,22,1
1846,206,1
1847,918,1
1848,188,1
1849,255,1
1850,741,1
1851,105,1
1852,977,1
1853,308,1
1854,787,1
1855,60,1
1856,524,1
1857,732,1
1858,700,1
1859,376,1
1860,796,1
1861,845,1
1862,439,1
1863,98,1
1864,312,1
1865,847,1
1866,456,1
1867,282,1
1868,421,1
1869,253,1
1870,911,1
1871,726,1
1872,563,1
1873,229,1
1874,1021,0
1875,899,1
1876,517,1
1877,826,1
1878,556,1
1879,958,1
1880,864,1
1881,381,1
1882,400,1
1883,47,1
1884,623,1
1885,2,1
1886,477,1
1887,551,1
1888,408,1
1889,604,1
1890,984,1
1891,734,1
1892,371,1
1893,725,1
1894,371,1
1895,711,1
1896,746,1
1897,68,1
1898,691,1
1899,276,1
1900,535,1
1901,715,1
1902,349,1
1903,765,1
1904,574,1
1905,42,1
1906,374,1
1907,214,1
1908,924,1
1909,24,1
1910,381,1
1911,536,1
1912,652,1
1913,596,1
1914,51,1
1915,923,1
1916,156,1
1917,124,1
1918,476,1
1919,699,1
1920,225,1
1921,671,1
1922,773,1
1923,151,1
1924,565,1
1925,1016,0
1926,867,1
1927,693,1
1928,361,1
1929,322,1
1930,284,1
1931,216,1
1932,846,1
1933,445,1
1934,724,1
1935,657,1
1936,590,1
1937,131,1
1938,155,1
1939,736,1
1940,804,1
1941,344,1
1942,225,1
1943,687,1
1944,467,1
1945,553,1
1946,332,1
1947,757,1
1948,777,1
1949,737,1
1950,810,1
1951,118,1
1952,731,1
1953,728,1
1954,580,1
1955,840,1
1956,889,1
1957,316,1
1958,830,1
1959,754,1
1960,107,1
1961,878,1
1962,549,1
1963,903,1
1964,91,1
1965,1023,0
1966,1025,0
1967,445,1
1968,55,1
1969,338,1
1970,596,1
1971,156,1
1972,467,1
1973,762,1
1974,791,1
1975,433,1
1976,523,1
1977,584,1
1978,594,1
1979,244,1
1980,40,1
1981,804,1
1982,267,1
1983,813,1
1984,1015,0
1985,477,1
1986,64,1
1987,45,1
1988,54,1
1989,975,1
1990,226,1
1991,938,1
1992,139,1
1993,891,1
1994,761,1
1995,876,1
1996,183,1
1997,825,1
1998,775,1
1999,1013,0
2000,318,1
2001,672,1
2002,22,1
2003,880,1
2004,891,1
2005,442,1
2006,7,1
2007,174,1
2008,796,1
2009,896,1
2010,956,1
2011,716,1
2012,422,1
2013,441,1
2014,634,1
2015,36,1
2016,825,1
2017,940,1
2018,413,1
2019,424,1
2020,502,1
2021,920,1
2022,634,1
2023,630,1
2024,849,1
2025,1024,0
2026,1018,0
2027,983,1
2028,47,1
2029,853,1
2030,716,1
2031,187,1
2032,3,1
2033,928,1
2034,229,1
2035,375,1
2036,484,1
2037,250,1
2038,211,1
2039,795,1
2040,703,1
2041,683,1
2042,271,1
2043,248,1
2044,913,1
2045,707,1
2046,398,1
2047,776,1
2048,968,1
2049,1015,0
2050,740,1
2051,415,1
2052,939,1
2053,797,1
2054,21,1
2055,829,1
2056,351,1
2057,56,1
2058,37,1
2059,944,1
2060,619,1
2061,246,1
2062,227,1
2063,936,1
2064,299,1
2065,685,1
2066,295,1
2067,128,1
2068,395,1
2069,911,1
2070,733,1
2071,87,1
2072,570,1
2073,844,1
2074,654,1
2075,163,1
2076,313,1
2077,3,1
2078,783,1
2079,107,1
2080,865,1
2081,636,1
2082,483,1
2083,5,1
2084,241,1
2085,580,1
2086,201,1
2087,211,1
2088,727,1
2089,827,1
2090,982,1
2091,912,1
2092,725,1
2093,71,1
2094,661,1
2095,914,1
2096,856,1
2097,136,1
2098,109,1
2099,744,1
2100,179,1
2101,998,1
2102,851,1
2103,4,1
2104,212,1
2105,976,1
2106,619,1
2107,898,1
2108,757,1
2109,455,1
2110,808,1
2111,231,1
2112,110,1
2113,61,1
2114,871,1
2115,64,1
2116,567,1
2117,236,1
2118,927,1
2119,97,1
2120,454,1
2121,387,1
2122,296,1
2123,1001,0
2124,975,1
2125,823,1
2126,611,1
2127,17,1
2128,371,1
2129,789,1
2130,542,1
2131,385,1
